Comment,Designator,Footprint,LCSC Part #
0.3pF,C11,0603_C,C170140
1pF,"C12,C13,C14,C15,C6",0402_C,C1550
220pF,C16,0402_C,C1530
1uF,C18,0402_C,C52923
22pF,"C1,C2",0402_C, C1555
2.2nF,C3,0402_C, C1531
4.7pF,C4,0402_C, C1569
1.5pF,C5,0402_C, C1552
33nF,C7,0402_C, C1585
1nF,C8,0402_C, C1523
10nF,"C9,C17",0402_C, C15195
8.2nH,L1,0402_L, C16208
2.7nH,"L2,L4,L5",0402_L, C27123
3.9nH,L3,0402_L, C14033
22K,R2,0402_R, C25768
1K,"R3,R4,R5",0402_R, C11702
nRF24L01P,U1,QFN-20_EP_4.0x4.0x0.5P, C8791
RFX2401C,U2,QFN-16_EP_3.0x3.0x0.5P, C19213
16MHz,X1,SMD-3225_4P , C13738
