"Source:"	"D:\Engineering\Projects\PCB projects\nRF24L01 PA LNA module\nRF24module\nRF24module.sch"
"Date:"	"08/19/20 15:32:22"
"Tool:"	"Eeschema (5.1.6)-1"
"Component Count:"	"31"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"C1"	"22pF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C2"	"22pF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C3"	"2.2nF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C4"	"4.7pF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C5"	"1.5pF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C6"	"1.0pF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C7"	"33nF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C8"	"1nF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C9"	"10nF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C11"	"0.3pF"	"Device:C_Small"	"Capacitor_SMD:C_0603_1608Metric"	"Unpolarized capacitor, small symbol"	""
"C12"	"1pF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C13"	"1pF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C14"	"1pF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C15"	"1pF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C16"	"220pF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C17"	"10nF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C18"	"1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"H1"	"Conn_02x04_Odd_Even"	"Connector_Generic:Conn_02x04_Odd_Even"	"Connector_PinHeader_1.27mm:PinHeader_2x04_P1.27mm_Vertical"	"Generic connector, double row, 02x04, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J1"	"SMA-RP"	"Connector:Conn_Coaxial"	"Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"	"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, ...)"	""
"L1"	"8.2nH"	"Device:L_Small"	"Inductor_SMD:L_0402_1005Metric"	"Inductor, small symbol"	""
"L2"	"2.7nH"	"Device:L_Small"	"Inductor_SMD:L_0402_1005Metric"	"Inductor, small symbol"	""
"L3"	"3.9nH"	"Device:L_Small"	"Inductor_SMD:L_0402_1005Metric"	"Inductor, small symbol"	""
"L4"	"2.7nH"	"Device:L_Small"	"Inductor_SMD:L_0402_1005Metric"	"Inductor, small symbol"	""
"L5"	"2.7nH"	"Device:L_Small"	"Inductor_SMD:L_0402_1005Metric"	"Inductor, small symbol"	""
"R2"	"22K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R3"	"1K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R4"	"1K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R5"	"1K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"U1"	"nRF24L01P"	"RF:nRF24L01P"	"Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm"	"nRF24L01+, Ultra low power 2.4GHz RF Transceiver, QFN20 4x4mm"	""
"U2"	"RFX2401C"	"SamacSys_Parts:RFX2401C"	"QFN50P300X300X60-17N-D"	"RF Front End 2.4GHz ZigBee/ISM RFeIC PA+LNA+SPDT"	""
"X1"	"16MHz"	"Device:Crystal"	"Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm"	"Two pin crystal"	""
